region,Resource,Resource_Type,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,ESR_1,ESR_2,ESR_3,CapRes_1,CapRes_2,CapRes_3,CapRes_4,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,regional_cost_multiplier,cap_recovery_years,wacc_real,cleanpower,RPSH_1,RPSH_2,RPSH_3,RPSH_4,RPSH_5,MinCapTag_1,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost
CA_N,CA_N_biomass_1,biomass,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0.93,0.0,0.0,0.0,0,0,0.0,248.8,0,126,841.176,-1,1.975,0,0.0,0,0,0,0,0,0,0.0,0.0,149833,0.0,0.0,0,5.77,0.0,0,0,0,0.0,16.24,3.969,4.286,biomass,0.256,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_conventional_hydroelectric_1,conventional_hydroelectric,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0.8,0.0,0.0,0.0,0,0,0.0,7210.5,0,135,7210.485,-1,53.411,0,0.0,0,0,0,0,0,0,0.0,0.0,47048,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.78,0.0,0.149,None,0.0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.083,0.083,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_geothermal_1,geothermal,1,3,1,1,0,1,0,0,0,0,0,1,1,1,0.93,0.0,0.0,0.0,0,0,0.0,746.9,0,24,1720.392,-1,31.12,0,0.0,0,0,0,0,0,0,0.0,0.0,209101,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.79,0.0,0.089,None,0.0,0,1.0,1.0,0.0,1.58,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0.95,0.0,0.0,0.0,0,0,32202.8,2077.6,0,24,2077.608,-1,86.567,0,0.0,0,0,0,0,0,0,0.0,0.0,40608,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1.56,0.0,1.88,None,0.259,0,0.866,0.866,0.0,0.083,14,16,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0.93,0.0,0.0,0.0,0,0,0.0,12754.4,0,45,12754.395,0,283.431,0,0.0,0,0,0,0,0,0,0.0,0.0,12098,0.0,0.0,0,3.85,0.0,0,0,92,2.0,7.53,1.195,1.495,pacific_naturalgas,0.423,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.64,0.64,6,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0.93,0.0,0.0,0.0,0,0,0.0,4991.6,0,128,4991.616,0,38.997,0,0.0,0,0,0,0,0,0,0.0,0.0,12308,0.0,0.0,0,5.23,0.0,0,0,119,3.5,11.12,1.892,2.966,pacific_naturalgas,0.518,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,3.78,3.78,1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_natural_gas_steam_turbine_1,natural_gas_steam_turbine,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0.93,0.0,0.0,0.0,0,0,0.0,2.9,0,1,2.9,0,2.9,0,0.0,0,0,0,0,0,0,0.0,0.0,51304,0.0,0.0,0,1.06,0.0,0,0,87,13.7,9.21,0.0,0.0,pacific_naturalgas,0.0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.64,0.64,6,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_onshore_wind_turbine_1,onshore_wind_turbine,1,8,1,1,0,1,0,0,0,0,0,1,1,1,0.8,0.0,0.0,0.0,0,0,0.0,1491.9,0,37,1491.914,0,40.322,0,0.0,0,0,0,0,0,0,0.0,0.0,43000,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.81,0.001,0.19,None,0.0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_small_hydroelectric_1,small_hydroelectric,1,9,1,0,0,0,1,0,0,0,0,1,1,1,0.8,0.0,0.0,0.0,0,0,0.0,177.6,0,130,723.58,-1,1.366,0,0.0,0,0,0,0,0,0,0.0,0.0,47048,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.71,0.0,0.77,None,0.0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_solar_photovoltaic_1,solar_photovoltaic,1,10,1,1,0,1,0,0,0,0,0,1,1,1,0.8,0.0,0.0,0.0,0,0,0.0,5361.9,0,303,5361.888,0,17.696,0,0.0,0,0,0,0,0,0,0.0,0.0,22887,0.0,0.0,0,0.0,0.0,0,0,0,0.0,8.98,0.437,0.215,None,0.0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
